"conversation_id_str","created_at","favorite_count","full_text","id_str","image_url","in_reply_to_screen_name","lang","location","quote_count","reply_count","retweet_count","tweet_url","user_id_str","username"
"1971270271882625504","Thu Sep 25 17:47:12 +0000 2025","0","Menurutnya buruh di seluruh Indonesia sepakat menolak tax amnesty karena kebijakan ini hanya menguntungkan konglomerat sementara pekerja terus dibebani pajak. https://t.co/HjexwFIXft","1971270275477180732","","suaramerdeka","in","","0","0","0","https://x.com/undefined/status/1971270275477180732","219527452",
"1971270271882625504","Thu Sep 25 17:47:11 +0000 2025","0","Presiden KSPI Said Iqbal menyatakan dukungan penuh terhadap sikap tegas Menteri Keuangan Purbaya Yudhi Sadewa yang menolak rencana tax amnesty jilid III. #suaramerdeka #suaramerdekacom #suaramerdekanetwork #purbaya #saidiqbal #taxamnesty #ptkp https://t.co/w1OdtIFzWm","1971270271882625504","https://pbs.twimg.com/media/G1tbYCuXAAA4CqC.jpg","","in","","0","1","0","https://x.com/undefined/status/1971270271882625504","219527452",
"1971266663627776203","Thu Sep 25 17:32:51 +0000 2025","0","Fenomena Menkeu Purbaya ini kayak lagi bgejalanin strategi PR yang gacor deh (buzzernya juga gacor). Beda sama atasannya omongannya tidak terasa begitu ngablu dan cukup terlihat tepat dalam pemilihan isunya. Gak aneh kalau anak muda bakal punya sentimen positif ke beliau.","1971266663627776203","","","in","","0","0","0","https://x.com/undefined/status/1971266663627776203","2864652475",
"1971262301710975076","Thu Sep 25 17:15:31 +0000 2025","0","Giring bebek.. ala menkeu Pak Purbaya... pada pasar saham️","1971262301710975076","","","in","","0","0","0","https://x.com/undefined/status/1971262301710975076","154164864",
"1971258976722669628","Thu Sep 25 17:02:18 +0000 2025","4","Setuju soal keputusan ini yg jd pertanyaannya si pak purbaya ini berani ngga? Gw yakin org² penunggak pajak itu punya bekingan. Jd ya saling kuat bekingan dan duit aja. Tp gw msh ragu ini tuh gimmick atau bukan? ","1971258976722669628","","","in","","0","1","1","https://x.com/undefined/status/1971258976722669628","2429397041",
"1971248361857839467","Thu Sep 25 16:52:30 +0000 2025","0","@anivra_ kata purbaya kan target sebulan udah kelar SEMOGA YAAAAA. pusing bgt tiap bulan ngadepin website jelek ini","1971256508311875749","","anivra_","in","","0","1","0","https://x.com/undefined/status/1971256508311875749","49243004",
"1971228579225805065","Thu Sep 25 16:43:45 +0000 2025","22","@BigAlphaID ini kondisi rupiah di market internasional saat harga di pasar di angka 16550.. kenapa angka 17 ribuan ini bisa jadi di angka 16550? karna INTERVENSI BI DI PASAR nah sekarang bayangin aja dompet BI dikuras 200T secara sepihak oleh Purbaya.. trus mau intervensi pake apa? kuat? https://t.co/Hk5BmMjM8u","1971254304599310820","https://pbs.twimg.com/media/G1tNVhBWAAABAT3.jpg","BigAlphaID","in","","0","0","0","https://x.com/undefined/status/1971254304599310820","1828319359691038721",
"1971223922998964301","Thu Sep 25 15:43:08 +0000 2025","0","@cnbcindonesia Bagaimana pak Purbaya?","1971239052893680001","","cnbcindonesia","in","","0","0","0","https://x.com/undefined/status/1971239052893680001","1603629337458413568",
"1970820149797355936","Thu Sep 25 15:30:10 +0000 2025","1","@txtdarimonsakti @Panathinatikos Menkeu Purbaya kan mantan anak buah Pak Hatta Rajasa kalau lihat track record perekonomian era SBY 2 periode pak Pur orang nya","1971235790631076316","","txtdarimonsakti","in","","0","0","0","https://x.com/undefined/status/1971235790631076316","1804683878197821440",
"1971234927854440516","Thu Sep 25 15:26:45 +0000 2025","1","Udah pada nyembah-nyembah si purbaya Masyarakat kita ini emang udah gak ada harapan berkali-kali kemakan gimik pejabat kapan belajarnya sih? Tidak ada pujian sebelum terbukti hasil kerjanya.","1971234927854440516","","","in","","0","0","0","https://x.com/undefined/status/1971234927854440516","1151742344116314112",
"1971228344743231835","Thu Sep 25 15:12:09 +0000 2025","0","@anyingpukimak @KemenkeuRI Data BI memang nunjukin cadangan devisa turun ke USD 150 7 miliar di Agustus 2025 terendah 9 bulan. Pemerintah lagi godok insentif buat tarik dolar domestik kata Menteri Keuangan Purbaya Yudhi Sadewa (baru gantikan Sri Mulyani). Efektivitasnya butuh waktu buat keliatan. Kalo","1971231254269001768","","anyingpukimak","in","","0","1","0","https://x.com/undefined/status/1971231254269001768","1720665183188922368",
"1971228938425991517","Thu Sep 25 15:02:57 +0000 2025","0","Gilak ini Purbaya effect... Jdi inget anak ftk itu","1971228938425991517","","","in","","0","0","0","https://x.com/undefined/status/1971228938425991517","1715330953814675456",
"1971226843522171276","Thu Sep 25 14:54:37 +0000 2025","2","purbaya ini cirikhas anak itb yang go with the flow dan asik tapi pintar biasanya yang gini2 anti bgt sama yang maha penjilat atau yang tukang mikir (doang)","1971226843522171276","","","in","","0","0","1","https://x.com/undefined/status/1971226843522171276","1150072234033106945",
"1971226649560744443","Thu Sep 25 14:53:51 +0000 2025","2","Kesalahan Pak Purbaya no 1? QE dengan gelontorin 200 T tp naikin bunga deposito usd yang malah kontra produktif","1971226649560744443","","","in","","0","0","0","https://x.com/undefined/status/1971226649560744443","19078316",
"1971224661104132333","Thu Sep 25 14:45:57 +0000 2025","0","Pak Purbaya agak klenger di sini","1971224661104132333","","","in","","0","0","0","https://x.com/undefined/status/1971224661104132333","19078316",
"1970488359488483673","Thu Sep 25 14:44:48 +0000 2025","0","@be_em_we323i @didepancangkir Wew ekonomi akan di putar pak Purbaya Menkeu","1971224370606731400","","be_em_we323i","in","","0","0","0","https://x.com/undefined/status/1971224370606731400","1849453601770614785",
